coc,College,Max OC Cut-off,Select,Select all,Weight,Location,Loc Selected,Branch Selected,Loc/Branch Fliter
5530,Ssm Institute Of Engineering And Technology,175.83,FALSE,FALSE,62,Dindigul,FALSE,TRUE,FALSE
2360,Suguna College Of Engineering,160.78,FALSE,FALSE,70,Coimbatore,TRUE,TRUE,TRUE
2769,J C T College Of Engineering And Technology,160.525,FALSE,FALSE,70,Coimbatore,TRUE,TRUE,TRUE
4024,University V.O.C. College Of Engineering,175.5,FALSE,FALSE,62,Thoothukudi,FALSE,TRUE,FALSE
4670,Rohini College Of Engineering & Technology,175.5,FALSE,FALSE,62,Kanyakumari,FALSE,TRUE,FALSE
1205,Lord Venkateshwara Engineering College,175.41,FALSE,FALSE,62,Kancheepuram,FALSE,TRUE,FALSE
4981,Ponjesly College Of  Engineering,175.22,FALSE,FALSE,62,Kanyakumari,FALSE,TRUE,FALSE
1409,Karpagavinayaga College Of Engineering And Technology,175.185,FALSE,FALSE,62,Chengalpattu,FALSE,TRUE,FALSE
1319,Thangavelu Engineering College,160.44,FALSE,FALSE,70,Chennai,TRUE,TRUE,TRUE
4917,Sethu Institute Of Technology (Autonomous),174.835,FALSE,FALSE,63,Virudhunagar,FALSE,TRUE,FALSE
2715,Nandha Engineering College (Autonomous),174.825,FALSE,FALSE,63,Erode,FALSE,TRUE,FALSE
1504,Arunai Engineering College,174.72,FALSE,FALSE,63,Thiruvannamalai,FALSE,TRUE,FALSE
4680,Aaa College Of Engineering And Technology,174.585,FALSE,FALSE,63,Virudhunagar,FALSE,TRUE,FALSE
1301,Mohamed Sathak A J College Of Engineering,174.275,FALSE,FALSE,63,Chengalpattu,FALSE,TRUE,FALSE
1505,C Abdul Hakeem College Of Engineering And Technology,174.255,FALSE,FALSE,63,Ranipet,FALSE,TRUE,FALSE
3019,University College Of Engineering,174.13,FALSE,FALSE,63,Cuddalore,FALSE,TRUE,FALSE
4938,Sivaji College Of Engineering And Technology,173.55,FALSE,FALSE,63,Kanyakumari,FALSE,TRUE,FALSE
1325,St. Joseph College Of Engineering,173.53,FALSE,FALSE,63,Kancheepuram,FALSE,TRUE,FALSE
2328,K S R Institute For Engineering And Technology,173.48,FALSE,FALSE,63,Namakkal,FALSE,TRUE,FALSE
2610,Muthayammal Engineering College (Autonomous),173.46,FALSE,FALSE,63,Namakkal,FALSE,TRUE,FALSE
2613,K S R College Of Engineering (Autonomous),173.36,FALSE,FALSE,63,Namakkal,FALSE,TRUE,FALSE
4944,Arunachala College Of Engineering For Women,173.34,FALSE,FALSE,63,Kanyakumari,FALSE,TRUE,FALSE
3018,University College Of Engineering,173.295,FALSE,FALSE,63,Nagapattinam,FALSE,TRUE,FALSE
5865,Nadar Saraswathi College Of Engineering And Technology,173.14,FALSE,FALSE,63,Theni,FALSE,TRUE,FALSE
1238,Grt Institute Of Engineering And Technology,173,FALSE,FALSE,64,Thiruvallur,TRUE,TRUE,TRUE
2611,Paavai Engineering College (Autonomous),173,FALSE,FALSE,64,Namakkal,FALSE,TRUE,FALSE
5921,Syed Ammal Engineering College,172.585,FALSE,FALSE,64,Ramanathapuram,FALSE,TRUE,FALSE
2628,Paavai College Of Engineering,172.46,FALSE,FALSE,64,Namakkal,FALSE,TRUE,FALSE
3425,C K College Of Engineering And Technology,172.255,FALSE,FALSE,64,Cuddalore,FALSE,TRUE,FALSE
